,2021-12-29,金发科技：预计2021年第四季度完成年产3万吨PLA合成线的投产,每日经济新闻
876,2020-05-28,又有牛股崩了，还是口罩概念！10亿美元订单黄了？,证券时报网
877,2020-05-28,全国人大代表、金发科技董事长袁志敏：勇敢试错 让新材料“发光发热”,上证报
878,2020-05-27,13万股东懵了！又有大牛股崩了，跌停！,中国基金报
879,2020-05-27,5月27日A股龙虎榜揭秘,Wind
880,2020-05-27,金发科技龙虎榜数据（5月27日）,Wind
881,2020-05-27,金发科技午后闪崩跌停,Wind
882,2020-05-27,金发科技午后直线下跌 封住跌停,e公司
883,2020-05-26,【东北基础化工】日报/中海油在渤海发现亿吨大油田 20200527,东北基础化工
884,2020-05-25,金发科技：高级管理人员职务变动 董监高成员变化,Wind
885,2020-05-25,石化行业周报：油价回升带动乙烯、丙烯价格上涨,新浪
886,2020-05-23,坏了！这家美企采购金发科技69亿口罩的40%前期款要“迟延”支付,第一纺织网
887,2020-05-23,聚石化学转战科创板 20处房产已有19处抵押,中国经营报
888,2020-05-22,5月23日上市公司重要公告集锦：汇金公司转让光大银行19.53%股份给光大集团,证券日报
889,2020-05-22,9.75亿美元订单可能告吹？“口罩王”金发科技美国订单前期款项延迟支付,21世纪经济报道
890,2020-05-22,金发科技(600143.SH)：KN95口罩买方美国某公司订单40%前期款项支付迟延,格隆汇
891,2020-05-22,重大合同进展！金发科技：9.75亿美元口罩订单款项支付稍微延迟,每日经济新闻
892,2020-05-22,金发科技：KN95口罩买方美国某公司订单40%前期款项支付迟延,格隆汇
893,2020-05-22,金发科技：KN95口罩买方美国某公司订单金额40%前期款项支付将迟延,Wind
894,2020-05-22,头盔概念三日游：一场小市值股“热点悸动”始末,21世纪经济报道
895,2020-05-21,【东北基础化工】日报/印度拟禁用27个农药品种 20200522,东北基础化工
896,2020-05-21,专访丨全国人大代表、金发科技董事长袁志敏：让新基建向中小企业敞开大门,每日经济新闻
897,2020-05-21,【行情】头盔概念股全线下跌，南京聚隆逼近跌停，伊之密、三夫户外、新日股份、际华集团、金发科技均纷纷下跌。 连续下跌,金十数据
898,2020-05-21,网友调侃“爱他就送头盔！” 官方回应：暂时不罚电动车！ 多家头盔公司提示风险，“疯狂”的头盔能火多久？,每日经济新闻
899,2020-05-21,【新时达机械】行业深度：头盔产业链爆发，看好设备环节,孟话机器人
900,2020-05-21,【东北基础化工】日报/江南化工终止收购新联民爆100%股权 20200523 并购重组异常,东北基础化工
901,2020-05-20,【东北基础化工】金发科技（600143.SH）2020年夏季上市公司线上交流会纪要,东北基础化工
902,2020-05-20,疯狂的头盔！多只个股连续涨停，又一个“投资必备产品”？市场监管部门这样回应,中证报
903,2020-05-20,炒完口罩炒头盔？量价齐升头盔抢手相关概念股大涨,财华社
904,2020-05-20,解盘：个股略有分化，动力电池、特斯拉、光刻胶领涨,Wind
905,2020-05-20,A股融资融券日报：两融余额增加41.22亿元（5月19日),Wind
906,2020-05-20,41股获券商买入评级，日月股份目标涨幅达59.82%,Wind
907,2020-05-19,金发科技、宝丰能源等发力保卫口罩“中国芯”,中新网
908,2020-05-19,金发科技拿下美企69亿元口罩订单,新浪
909,2020-05-18,金发科技：比9.75亿美元订单更值得关注的是企业本身,览富财经
910,2020-05-18,41股今日获机构买入评级 9股上涨空间超20%,证券时报网
911,2020-05-18,金发科技(600143)：实力雄厚延展口罩爆发 完善布局打通上游产业链,新浪
912,2020-05-18,金发科技(600143)：口罩业务火爆、传统业务稳健推进 全时间维度 强烈看好公司,新浪
913,2020-05-18,金发科技(600143)：子公司签订重大合同 扩建PDH产业链,新浪
914,2020-05-18,金发科技(600143.SH)：拟62亿元建120万吨/年聚丙烯热塑性弹性体(PTPE)及改性新材料一体化项目(一阶段),格隆汇
915,2020-05-18,此前因“头盔”概念股价大涨，如今又中大奖，这家公司获美近70亿元口罩订单！股民“庆祝”，你买了吗？,每日经济新闻
916,2020-05-18,金发科技受益禁塑令 业绩翻倍增长,新浪
917,2020-05-18,头盔概念股大涨 金发科技、国立科技、南京聚隆涨停,金融界
918,2020-05-18,金发科技竞价涨停,Wind
919,2020-05-18,金发科技涨停，子公司签订9.75亿美元口罩出口重大合同,Wind
920,2020-05-18,A股早报2020年5月18日星期一,Wind
921,2020-05-18,签给美国69亿元口罩订单的金发科技，在宁波狂砸62亿建聚丙烯项目,第一纺织网
922,2020-05-18,牛散已提前建仓！这家公司获美近70亿元口罩订单，股民提醒小心“仙人跳”,中证报
923,2020-05-18,金发科技获9.75亿美元 KN95口罩出口大单,上证报
924,2020-05-18,【公司快评|国信化工】金发科技(600143)：签订超级KN95订单，动工建设PTPE新项目,化工之诚
925,2020-05-18,海外口罩需求持续上升金发科技签10亿美元订单,证券时报
926,2020-05-17,5月18日上市公司重要公告集锦：中信国安涉信披违法违规遭证监会立案调查,证券日报
927,2020-05-17,金发科技子公司签订特别重大合同 订单金额9.75亿元,电鳗快报
928,2020-05-17,金发科技(600143.SH)签订9.75亿美元口罩出口订单,格隆汇
929,2020-05-17,金发科技签9.75亿美元口罩出口订单 海外口罩需求有增无减,e公司
930,2020-05-17,晚间重要公告2020年5月17日星期日,Wind
931,2020-05-17,金发科技：子公司签订9.75亿美元重大口罩出口合同,Wind
932,2020-05-17,金发科技：子公司建设120万吨/年聚丙烯热塑性弹性体(PTPE)及改性新材料一体化项目,Wind
933,2020-05-17,金发科技：董事会和监事会延期换届选举,Wind
934,2020-05-16,被美国人耍了？70亿口罩订单突然告吹！这家公司股价大跌，超12万股民踩雷 连续下跌,21财闻汇
935,2020-05-16,金发科技：子公司签订货值9.75亿美元重大口罩出口合同,格隆汇
936,2020-05-16,金发科技(600143.SH)：买方美国某公司订单金额40%前期款项支付迟延,格隆汇
937,2020-05-13,口罩股再起波澜,Wind
938,2020-05-12,汽车市场有望回暖 关注轮胎和车用改性塑料板块投资机会——基础化工行业投资周报(05.04-05.10),长城化工新视界
939,2020-05-12,口罩股异动,Wind
940,2020-05-11,熔喷布即将降温，数十家上市公司纷纷增加产线,纺织网
941,2020-05-09,警钟长鸣！证监会公布2019年稽查20大案件，保千里、中安消、五洋债等在列,21世纪经济报道
942,2020-05-09,证监会公布2019年证监稽查20起典型违法案例 其他违规处罚,Wind
943,2020-05-09,2019年证监稽查20起典型违法案例 其他违规处罚,证监会
944,2020-05-07,A股早报2020年5月7日星期四,Wind
945,2020-05-06,涨停板解密：三大板块个股火爆受追捧！（5月6日）,Wind
946,2020-05-06,A股异动|金发科技(600143.SH)涨停拟增加经营范围“塑料薄膜制造”等,格隆汇
947,2020-05-04,【东北基础化工】金发科技2019年报及2020Q1点评：一季报利空落地，低油价时期主业弹性显现有望环比业绩改善，重申买入,东北基础化工
948,2020-05-01,券商首次关注5股并给予买入评级（5月1日）,Wind
949,2020-04-30,金发科技(600143.SH)拟增加经营范围“塑料薄膜制造”等,格隆汇
950,2020-04-30,券商首次关注7股并给予买入评级（4月30日）,Wind
951,2020-04-30,68亿元口罩大单因何终止？神秘美国买家是谁？金发科技回应,每日经济新闻
952,2020-04-29,A股牛散炒股谁最强？何雪萍押中两倍牛股；章建平、赵建平抢筹科技；何享健独爱钢铁水泥！,每日经济新闻
953,2020-04-28,鹰眼预警:金发科技跌停 年报业绩提升Q1净利跌四成 盈利能力下降,新浪
954,2020-04-28,跌停板解密：三板块个股纷纷遭大单抛售！（4月28日）,Wind
955,2020-04-28,A股探底回升，上证指数收盘跌0.19%,Wind
956,2020-04-28,口罩板块走弱 江南高纤、金发科技跌停,格隆汇
957,2020-04-28,A股异动 | 金发科技跌停 一季度净利同比降36.91% 盈利能力下降,格隆汇
958,2020-04-27,金发科技(600143.SH)2019年度净利升99.43%至12.45亿元 拟10派1元,格隆汇
959,2020-04-27,金发科技(600143.SH)一季度净利降36.91%至1.42亿元 盈利能力下降,格隆汇
960,2020-04-27,金发科技：拟发行不超60亿元融资工具,Wind
961,2020-04-27,金发科技：2019年净利润同比增长99.43%,Wind
962,2020-04-27,金发科技：一季度净利润同比减少36.91% 盈利能力下降,Wind
963,2020-04-26,农业银行“链捷贷”助力疫情防控与企业复工复产,上证报
964,2020-04-22,A股融资融券日报：两融余额增加10.51亿元（4月21日）,Wind
965,2020-04-14,疫情冲击激发市场潜能！5G材料的宠儿——LCP的国产化之路稳步开启,国信证券
966,2020-04-14,A股融资融券日报：两融余额减少5.11亿元（4月13日）,Wind
967,2020-04-13,LCP材料国产化进程提速，产业链股大幅拉升，沃特股份涨停,证券时报网
968,2020-04-13,口罩产业链彻底乱了！丙烯疯狂上涨，价格两日翻倍,e公司
969,2020-04-11,17股主力资金净流入超亿元 主力资金连续流入个股（名单）,证券时报
970,2020-04-10,爱回收旗下爱分类爱回收助力搭建循环经济产业闭环,砍柴网
971,2020-04-09,国信证券：关注春耕刚需和新材料增量市场(个股组合),新浪
972,2020-04-09,【最新观点|国信化工】不喜不忧，建议关注受益板块+防御板块,化工之诚
973,2020-03-19,化工｜发改委发布绿色发展法规政策体系意见，化工行业或迎结构性发展契机,中信证券研究
974,2020-03-13,金发科技：“15金发MTN001”持有人会议未形成有效表决,Wind
975,2020-03-10,口罩概念股跌幅迅速缩窄,Wind
976,2020-03-10,融资客青睐5股，本钢板材买入占比高达61.71%,Wind
977,2020-03-09,A股融资融券日报：两融余额减少50.71亿元（3月6日）,Wind
978,2020-03-05,3月5日主力巨资抢筹四大板块(附股),金融界
979,2020-03-05,口罩产业链中的珠三角企业,南方网
980,2020-03-05,护送“抗疫”物资上前线，他们冲破了产线的各个卡点,科技日报
981,2020-03-05,珠三角企业10天研发熔喷布材料 可循环利用口罩将量产,南方网
982,2020-03-04,口罩材料供不应求 价格暴涨超10倍 四大牛股强,证券时报
983,2020-03-04,口罩价格暴涨超10倍！概念股稀缺，龙头逆袭成大黑马（附名单）,中财网
984,2020-02-28,中信证券：LCP―5G时代最有潜力的材料,新浪
985,2020-02-24,债券重大事件2020年2月24日星期一,Wind
986,2020-02-23,金发科技袁志敏：积极扩产满足高分子医用防疫材料需求,上证报
987,2020-02-21,中国银行：3月6日召开“15金发MTN001”持有人会议，审议相关议案,Wind
988,2020-02-21,“复工潮”持续，A股公司产能恢复情况全梳理,Wind
989,2020-02-21,金发科技（600143）快评：计划发行债券，积极储备流动资金,国信研究
990,2020-02-19,金发科技(600143.SH)拟非公开发行不超20亿元公司债券,格隆汇
991,2020-02-19,金发科技(600143.SH)拟发行不超10亿元短期融资券,格隆汇
992,2020-02-19,广州密集出台 “硬核”政策纾困,南方网
993,2020-02-19,[互动]金发科技：喷融布专用生产线未来两周内有望达到500吨/天,全景网
994,2020-02-15,粤企加足马力陆续开工,南方网
995,2020-02-11,珠三角“世界工厂”复工首日，呈现与往年五大不同,南方网
996,2020-02-06,A股共发生71宗大宗交易成交20.67亿元（2月6日）,Wind
997,2020-02-06,"金发科技现6笔大宗交易 共成交3,838.27万元",新浪
998,2020-02-06,上海证券市场大宗交易公开信息(2020-02-06),上交所
999,2020-02-06,金发科技今日大宗交易成交463万股，成交价8.29元折价11.9%,Wind
1000,2020-02-02,金发科技：加紧生产防护服用透气膜材料,上证报
1001,2020-01-22,109股昨日获机构买入评级,证券时报
1002,2020-01-20,限塑期限明确！超商、酒店、农业、餐饮和材料企业该如何做？,第一财经
1003,2020-01-20,金发科技：2019年年度业绩报告预告,上交所
1004,2020-01-20,限塑令又来了！这些A股暴涨80亿,中国基金报
1005,2020-01-20,金发科技：预计2019年净利润同比增长85%-107%,Wind
1006,2020-01-20,金发科技(600143.SH)2019年净利预增85%到107%,格隆汇
1007,2020-01-20,【投资策略|国信化工】基础化工行业1月份投资策略：新材料服务科技创新是当前重点,化工之诚
1008,2020-01-20,新版限塑令来了 可降解塑料替代空间巨大,e公司
1009,2020-01-20,融资客青睐19股，天坛生物买入占比高达41.94%,Wind
1010,2020-01-20,我国将加强塑料污染治理 四股突围拉开序幕,证券时报
1011,2020-01-19,可降解塑料替代空间巨大这家公司被机构集体看好,新浪
1012,2020-01-19,【公司点评|国信化工】金发科技-600143-改性塑料回暖叠加新项目并表，盈利大幅改善符合预期,化工之诚
1013,2020-01-19,【东北化工陈俊杰/王栋】可降解塑料行业深度：从“限塑”到“禁塑”，可降解塑料迎黄金发展期，首推金发科技,东北证券研究所
1014,2020-01-14,微信概念走弱,中财网
1015,2020-01-13,看！这么多大品牌在用废弃塑料原料,中塑协
1016,2019-12-30,金发科技(600143.SH)控股股东袁志敏解除质押1.28亿股,格隆汇
1017,2019-12-20,下周两市1353亿市值限售股解禁，环比增加370.22% 解禁,Wind
1018,2019-12-18,金发科技：改性塑料龙头拓展上游，新材料有望爆发增长,证券时报网
1019,2019-12-16,金发科技：占总股本6.09%限售股将于12月23日上市流通 解禁,Wind
1020,2019-12-16,金发科技(600143.SH)：1.57亿股限售股23日解禁 解禁,格隆汇
1021,2019-12-12,融资客青睐18股，华孚时尚买入占比高达82.27%,Wind
1022,2019-12-11,金发科技不超20亿元回购缩水变7亿 遭上交所监管关注 金融监管处罚,中国经济网
1023,2019-12-10,金发科技：中诚信证评终止“16金发01”信用评级,Wind
1024,2019-12-10,资本观察|回购计划未达标，金发科技收监管函 问询,财经网
1025,2019-12-09,上交所对金发科技及其时任董秘予以监管关注 金融监管处罚,中证网
1026,2019-12-09,金发科技：公司及时任董秘被上交所予以监管关注 其他违规处罚,Wind
1027,2019-12-03,11月A股共有379份回购公告，苏宁环球已斥资10亿完成回购,格隆汇
1028,2019-12-02,26股获券商买入评级 ，太阳纸业目标涨幅达60.58%,Wind
1029,2019-11-30,33股今日获机构买入评级,证券时报
1030,2019-11-29,金发科技（600143）深度：主业回暖拓展上游，化工新材料进入快速增长期,国信研究
1031,2019-11-25,金发科技：为子公司提供担保不超过30亿元 大额借贷担保,Wind
1032,2019-11-22,金发科技：关于“16金发01”公司债提前赎回及摘牌的公告,上交所
1033,2019-11-21,A股异动 | 金发科技涨逾6% 新限塑令或颁布在即 获机构看好,格隆汇
1034,2019-11-21,快讯：金发科技涨停 报于7.28元,金融界
1035,2019-11-21,智能音箱概念领跌,中财网
1036,2019-11-21,新限塑令或颁布在即 金发科技受益涨停,金融界
1037,2019-11-21,金发科技开盘涨停,第一财经
1038,2019-11-18,广发证券：“16金发01”持有人会议审议通过提前兑付议案,Wind
1039,2019-11-10,金发科技：将于11月11日注销本次所回购股份1.43亿股,Wind
1040,2019-11-06,金发科技：针对特斯拉上海工厂项目，已完成覆盖内外饰产品的多款材料认可,Wind
1041,2019-11-06,金发科技：针对特斯拉上海工厂项目 已完成覆盖内外饰产品的多款材料认可,e公司
1042,2019-11-06,10月以来A股再现400份回购公告，苏宁环球已回购10%的股份,格隆汇
1043,2019-11-01,金发科技(600143.SH)截至10月底累计耗资7.27亿元回购5.27%股份,格隆汇
1044,2019-10-31,【东北化工陈俊杰/王栋】金发科技（600143）三季报点评：新材料发力，经营性现金流超预期，roe持续修复中,东北证券研究所
1045,2019-10-28,金发科技：前三季度净利润同比增44.34%,Wind
1046,2019-10-25,金发科技：获得政府补助5905万元,金融界
1047,2019-10-25,金发科技(600143.SH)累计获5905.18万元政府补助,格隆汇
1048,2019-10-21,金发科技降本增效净利增幅45%超营收 负债率63%升至历史高位但总体可控 盈利能力下降,长江商报
1049,2019-10-16,131股获券商买入评级 温氏股份目标涨幅达58.40%,Wind
1050,2019-10-15,金发科技：收购宁波海越，弥补成本短板，并打通全产业链,证券时报网
1051,2019-10-15,【西南证券—沃特股份深度报告】布局5G产业链的改性塑料企业,化工林谈
1052,2019-10-11,看！这么多大品牌在用废弃塑料原料,中国环境报
1053,2019-10-10,金发科技：关于“16金发01”公司债券2019年度付息公告,上交所
1054,2019-10-09,金发科技：“16金发01”回售申报日2019年10月14日,Wind
1055,2019-10-08,金发科技(600143.SH)截至9月末回购1.43亿股 涉资7.27亿元,格隆汇
1056,2019-09-25,煤炭石油：建议配置龙头企业和成长性个股 荐5股,银河证券
1057,2019-09-23,金发科技回复问询：经营性贷款的还款来源有充分保障 问询,Wind
1058,2019-09-20,化工：中低端负极材料竞争激烈,川财证券
1059,2019-09-18,化工：化工整体供需有所好转,中信建投
1060,2019-09-16,金发科技被问询：要求说明是否存在货币资金被他方实际使用的情况 问询,Wind
1061,2019-09-16,金发科技子公司股权质押 质押融资金额合计 26.33 亿元,和讯
1062,2019-09-15,金发科技(600143.SH)质押宁波银商、万华投资及金发新材料股权融资26.33亿元,格隆汇
1063,2019-09-14,机构称这些股未来涨幅空间超20% 汽车股被扎堆推荐,证券时报
1064,2019-09-12,30股获券商买入评级 首开股份目标涨幅达57.20%,Wind
1065,2019-09-11,华泰证券：金发科技买入评级,华泰证券
1066,2019-09-11,A股早报2019年9月11日星期三,Wind
1067,2019-09-11,金发科技：主业持续改善，新材料面向未来,证券时报网
1068,2019-09-10,金发科技龙虎榜数据(9月10日）,Wind
1069,2019-09-10,[快讯]9月10日证券公司营业部交易龙虎榜,中财网
1070,2019-09-10,涨停板解密：三大板块逆市仍受追捧！（9月10日）,Wind
1071,2019-09-02,金发科技：回购股份比例达到5% 耗资6.86亿元,证券时报网
1072,2019-09-02,金发科技(600143.SH)截至8月底累计耗资6.86亿元回购5%的股份,格隆汇
1073,2019-08-28,"太平洋证券：将金发科技评级调高为""买入""",Wind
1074,2019-08-28,【太平洋化工】金发科技2019年半年报点评：改性塑料龙头，受益垃圾分类、5G及氢能大发展,太平洋化工信息平台
1075,2019-08-28,上调评级至买入策略选股（8月28日）,Wind
1076,2019-08-28,券商首次关注12股并给予买入评级（8月28日）,Wind
1077,2019-08-26,金发科技(600143.SH)上半年净利升45.3%至5.096亿元,格隆汇
1078,2019-08-26,金发科技：上半年净利润同比增45.30%,Wind
1079,2019-08-26,金发科技：上半年净利润同比增45.30%，营收小增,Wind
1080,2019-08-20,【行业深度】石化丨改性塑料：基于全产业链视角看好行业发展，推荐低估值龙头企业,中国银河证券研究
1081,2019-08-20,146股获券商买入评级 荣盛发展目标涨幅达93.50%,Wind
1082,2019-08-19,金发科技：布局氢能综合利用，加码新材料领域成长,证券时报网
1083,2019-08-15,金发科技(600143.SH)：宁波金发与浙能集团签订框架协议,格隆汇
1084,2019-08-01,金发科技(600143.SH)截至7月底累计耗资5.9亿元回购4.33%的股份,格隆汇
1085,2019-07-25,国家科创第一区炼成记：广州开发区知识产权改革试验田长出“隐形冠军”,21世纪经济报道
1086,2019-07-24,广州开发区打造大湾区知识产权服务中心,南方日报
1087,2019-07-23,金发科技：已耗资5.45亿元回购4.01%股份,e公司
1088,2019-07-23,金发科技(600143.SH)截至7月23日回购4.01%股份 涉资5.45亿元,格隆汇
1089,2019-07-10,金发科技将花不超20亿元回购公司股份 用于减少公司注册资本,挖贝网
1090,2019-07-10,"2019年石油化工行业中期策略报告:2019年石化行业景气向下,看好细分领域投资机会",证券之星
1091,2019-07-04,金发科技(600143.SH)当年累计新增借款超过上年末净资产的40% 大额借贷担保,格隆汇
1092,2019-07-04,17股获券商买入评级 游族网络目标涨幅达35.14%,Wind
1093,2019-07-03,金发科技：拟建设PTPE项目，聚焦中高端改性塑料进口替代,证券时报网
1094,2019-07-01,改性塑料迎来拐点+PDH项目并表，Q3业绩创历史新高——金发科技,艾华新旧博弈
1095,2019-06-28,中诚信国际：关注金发科技资产抵押事项 大额借贷担保,Wind
1096,2019-06-28,金发科技：2018年年度权益分派实施公告,上交所
1097,2019-06-27,金发科技(600143.SH)拟每10股派1元 股权登记日7月4日,格隆汇
1098,2019-06-24,涉内幕交易，金发科技董事长被证监会调查罚款 其他违规处罚,中金在线
1099,2019-06-24,金发科技(600143.SH)董事长袁志敏收到证监会行政处罚决定书 涉内幕信息敏感期内交易 其他违规处罚,格隆汇
1100,2019-06-24,金发科技：董事长因内幕交易，被证监会罚款58.91万元 其他违规处罚,Wind
1101,2019-06-24,化工：油价继续中位区间震荡 荐5股,银河证券
1102,2019-06-19,中国证监会行政处罚决定书（袁志敏、王宗明） 其他违规处罚,证监会
1103,2019-06-12,油价创年内最大降幅，手持这4类股票的股民要笑了,凤凰网
1104,2019-06-11,金发科技：回购股份比例达到3% 耗资超4亿元,e公司
1105,2019-06-11,金发科技(600143.SH)截至11日累计回购8168.29万股 涉资4.098亿元,格隆汇
1106,2019-06-10,金发科技(600143.SH)完成收购宁波海越51%股权,格隆汇
1107,2019-06-06,【天风研究·固收】信用早早报（6月6日）,固收彬法
1108,2019-06-05,金发科技：当年累计新增借款占上年末净资产39.89% 大额借贷担保,Wind
1109,2019-05-30,数字政通终止投资 北京“首家”专业科技保险公司成立遇阻？,每日经济新闻
1110,2019-05-29,海越能源(600387.SH)：宁波海越51%股权已过户完成,格隆汇
1111,2019-05-29,金发科技发布股权收购完成工商变更登记的公告,Wind
1112,2019-05-27,金发科技发布关于收购宁波海越新材料有限公司51%股权进展的公告,Wind
1113,2019-05-23,【申万宏源化工】每日信息速递20190523,申万宏源化工投资
1114,2019-05-23,金发科技：2018年年度股东大会决议公告,上交所
1115,2019-05-08,【中信证券化工】金发科技（600143）2018年年报及2019年一季报点评：业绩稳健，长期看好多方位布局,CITICS化工研究
1116,2019-05-06,金发科技(600143.SH)截至4月底已累计回购6924万股,格隆汇
1117,2019-04-30,近四成2018级新股业绩“变脸”,北京商报
1118,2019-04-25,235股获券商买入评级 海正药业目标涨幅达73.55%,Wind
1119,2019-04-24,金发科技2019年第一季度净利2.25亿元 董事长袁志敏持股5.1亿股,挖贝网
1120,2019-04-23,金发科技去年净利6.2亿元 同比增长14% 董事长袁志敏薪酬126万元,挖贝网
1121,2019-04-23,金发科技：2018年累计新增借款超上年末净资产的20% 大额借贷担保,Wind
1122,2019-04-23,【方正化工】金发科技2018年报+2019一季报点评-收入利润稳健增长 布局上游打通产业链,靠谱化工股
1123,2019-04-23,金发科技(600143.SH)2018年度净利润升13.89%至6.24亿元 拟10派1,格隆汇
1124,2019-04-23,金发科技(600143.SH)一季度净利润升21.16%至2.25亿元,格隆汇
1125,2019-04-22,金发科技：2019年度为下属子公司提供不超过77.2亿元担保 大额借贷担保,Wind
1126,2019-04-22,金发科技：2018年净利润同比增13.89%,Wind
1127,2019-04-22,金发科技：一季度净利润同比增21.16%,Wind
1128,2019-04-19,证监会警示并购重组内幕交易 三宗内幕交易案被罚,21世纪经济报道
1129,2019-04-02,金发科技(600143.SH)：截至3月底累计回购6211.27万股,格隆汇
1130,2019-03-26,暖风频吹，并购连续跑出大牛，最新名单出炉,Wind
1131,2019-03-18,金发科技董事长袁志敏：减税降费助力企业提质增效,中证网
1132,2019-03-18,减税降费助力企业提质增效 完善产业链布局,中证报
1133,2019-03-13,中国证监会行政处罚决定书（王永江）,证监会
1134,2019-03-11,【天风研究·固收】信用早早报（3月11日）,固收彬法
1135,2019-03-08,中诚信国际：关注金发科技收购海越新材料股权事项,Wind
1136,2019-03-08,【天风研究·固收】信用早早报（3月8日）,固收彬法
1137,2019-03-07,市场风险偏好继续，并购迎最好环境，这些必看,Wind
1138,2019-03-07,金发科技：收购宁波海越51%股权,Wind
1139,2019-03-06,65股获券商买入评级 万科A目标涨幅达50.30%,Wind
1140,2019-03-05,A股早报2019年3月5日星期二,Wind
1141,2019-03-04,金发科技：第六届董事会第十五次(临时)会议决议公告,上交所
1142,2019-03-04,金发科技进入丙烯上游原材料行业 分两步拿下宁波海越全部股权,e公司
1143,2019-03-04,金发科技：拟6.99亿元收购宁波海越剩余51%股权,e公司
1144,2019-02-18,化工：涤纶长丝行情清淡 荐5股,中信建投
1145,2019-01-29,【天风研究·固收】信用早早报（1月29日）,固收彬法
1146,2019-01-28,中诚信国际：关注金发科技董事长受到证监会行政处罚事项,Wind
1147,2019-01-25,【天风研究·固收】信用早早报（1月25日）,固收彬法
1148,2019-01-24,金发科技：董事长收到证监会《行政处罚事先告知书》,Wind
1149,2019-01-23,金发科技：董事长收到行政处罚事先告知书 其他违规处罚,e公司
1150,2019-01-17,【天风研究·固收】信用早早报（1月17日）,固收彬法
1151,2019-01-16,金发科技：2018年累计对外担保占上年末净资产32.55%,Wind
1152,2019-01-08,金发科技：2018年累计对外担保金额超上年末净资产百分之二十,Wind
1153,2019-01-01,【东北基础化工】日报/ 惠州将建设世界级石化能源新材料产业集群20200116,东北基础化工
1154,2018-12-26,化工：聚酯减产下长丝价格坚挺 荐8股,中信建投
1155,2018-12-24,化工：OLED手机渗透率达61.1% 金发科技拟收购宁波海越剩余51%股权,中信建投
1156,2018-12-21,现金流吃紧拟斥资8亿收购连亏三年标的 金发科技再遭问询,财经网
1157,2018-12-21,"金发科技动态点评:收购宁波海越,改性塑料龙头一体化优势增强",国海证券
1158,2018-12-20,拟购标的业绩波动大 金发科技收问询函 问询,北京商报网
1159,2018-12-20,海越能源解释转让宁波海越动机：优化资产结构提升净资产收益,中证网
1160,2018-12-20,金发科技(600143)简评：拟受让宁波海越剩余51%股权，全产业链更进一步，新材料与海外持续布局,中信建投证券研究
1161,2018-12-19,金发科技拟7亿买海越能源子公司，两公司今日股价双跌,新京报
1162,2018-12-19,金发科技拟以7亿接手海越能源转让的51%股权,中金在线
1163,2018-12-18,海越能源转让宁波海越51％股权 金发科技拟7亿元接盘,中证网
1164,2018-12-18,金发科技：拟7亿收购宁波海越51%股权 实现全资控股,e公司
1165,2018-12-18,"金发科技:拟收购PDH等业务,完善产业链布局",正点财经
1166,2018-12-15,年内492家公司推股份回购方案 陕西煤业等八大“回购王”浮出水面,证券日报
1167,2018-12-15,金发科技 积极推进海外市场布局,证券日报
1168,2018-12-14,年终盘点：2018年十大回购王 陕煤、美的等豪气出手,投资快报
1169,2018-12-07,金发科技：国内改性塑料龙头 新材料业务快速增长,财信证券
1170,2018-12-06,财闻点金：我国投资规模最大国家级商业航天项目启动,巨丰财经
1171,2018-11-23,金发科技将花不超20亿元回购公司股份 用于股权激励,挖贝网
1172,2018-11-21,2018广东省百强民营企业榜单发布，广州23家企业上榜,南方日报
1173,2018-11-14,拿什么拯救股价？数解2018年A股回购股份七宗“最”,中金在线
1174,2018-11-02,社保证金汇金三季度调仓动向曝光,中证报
1175,2018-11-02,"金发科技:三季度业绩稳健增长,看好公司长期发展",国联证券
1176,2018-10-30,拟向标的资产提供21亿元巨额担保遭问询 金发科技：延续原有结构，对各方公平 大额借贷担保,每经网
1177,2018-10-26,光大证券：金发科技买入评级,光大证券
1178,2018-10-26,171股获券商买入评级 东方雨虹目标涨幅达115.63%,Wind
1179,2018-10-24,352股拟回购金额上限破千亿 部分公司囊中羞涩谨防忽悠,21世纪经济报道
1180,2018-10-23,三季报披露国家队投资路径 谁被看好 谁遭减持？,经济观察网
1181,2018-10-23,资金流:券商4股超反3股流入居前 两市净流出331亿,金融界
1182,2018-10-23,拟10亿-20亿元回购股份 金发科技连续两日涨停,金融界
1183,2018-10-23,回购短暂刺激股价 长期还靠改善经营,证券时报
1184,2018-10-22,金发科技：前三季度净利润同比增42.92%,Wind
1185,2018-10-22,金股回顾：金股预测提及个股金发科技等4股封涨停！,巨丰财经
1186,2018-10-22,苹果概念盘中涨幅居前 金发科技等5股涨停,证券时报网
1187,2018-10-22,金发科技拟斥资超10亿回购股份 早盘封涨停板,新浪
1188,2018-10-22,金发科技开盘涨停，拟出资10亿元至20亿元回购股份,Wind
1189,2018-10-22,金股预测早间版：8股有望开启估值修复,巨丰财经
1190,2018-10-22,上市公司正负面新闻2018年10月22日星期一,Wind
1191,2018-10-21,10月22日上市公司回购：金发科技拟出资10亿元至20亿元回购股份,中证网
1192,2018-10-21,金发科技：拟出资10-20亿元回购股份,Wind
1193,2018-10-19,多家公司发布回购公告：金发科技等获力挺,Wind
1194,2018-10-19,金发科技:控股股东袁志敏提议回购股份 不低于10亿元,新浪
1195,2018-10-19,金发科技：控股股东提议以10亿元-20亿元回购股份,Wind
