,2021-12-31,"年终盘点|2021年十大""争议""白马股",新浪
3972,2018-08-17,挖掘机新周期,21世纪经济报道
3973,2018-08-16,@所有人 三一压路机抢购指南！,工程机械商贸
3974,2018-08-15,[看好评级]机械行业点评报告：基建增速下半年有望回升 支撑工程机械需求持续,中财网
3975,2018-08-13,机械制造：工程机械板块稳定增长 荐5股,申万宏源
3976,2018-08-13,机械制造：回避前期涨幅较多的标的 荐13股,川财证券
3977,2018-08-13,[增持评级]7月份挖掘机销量点评：基建投资预期触底反弹 挖机销量保持高增长,中财网
3978,2018-08-13,工程机械为何淡季热卖？行业背后有两大推手,慧聪网
3979,2018-08-13,[强于大市评级]机械设备行业研究周报：7月挖掘机数据持续超预期 继续看好工程机械和新兴产业,中财网
3980,2018-08-13,"机械设备行业跟踪报告:预计需求仍将维持增长态势,利好工程机械设备",爱建证券
3981,2018-08-12,新制造高速回暖，长期看好机械行业发展逻辑——机械高频数据周报20180813,申万宏源机械
3982,2018-08-12,[优于大势评级]机械设备行业动态报告：受中国智能手机行业需求减弱影响 日本工业机器人产销增速下降,中财网
3983,2018-08-12,[增持评级]华泰证券机械设备行业周报(第三十二周),中财网
3984,2018-08-11,124只个股获券商青睐 四维度选出10只绩优股,证券日报
3985,2018-08-10,央视实锤：市值一骑绝尘！专家赞三一重工“最白马、最龙头”,慧聪网
3986,2018-08-10,这批高成长龙头股市盈率或已低于30倍（名单）,中财网
3987,2018-08-10,北上资金抢筹58只个股 其中56只个股被券商看好,证券日报
3988,2018-08-09,【机械*陈显帆】7月挖掘机同比+45%，稳基建、拉长景气周期,东吴研究所
3989,2018-08-09,"机械行业周报:结构性机会,新经济是方向",国信证券
3990,2018-08-08,【民生机械点评】7月挖机销量同比增45%，行业持续向好,东单智造
3991,2018-08-08,机械制造：7月挖掘机同比+45% 荐2股,东吴证券
3992,2018-08-08,融资客青睐25股，出版传媒买入占比高达54.44%,Wind
3993,2018-08-07,多家机构发布机械行业研报，一细分板块标的值得关注,Wind
3994,2018-08-07,长沙工程机械产业集群向全球价值链中高端迈进,慧聪网
3995,2018-08-07,多家机构发布机械行业研报 一细分板块标的值得关注(附股),证券时报网
3996,2018-08-06,机械板块个股或现分化态势 机构选股趋同性增加,股城网
3997,2018-08-06,巨丰热点：市场再迎大基建类炒作 受益板块全线活跃,巨丰财经
3998,2018-08-06,基金二季报梳理：基金重仓股中暗藏了哪些秘密,中财网
3999,2018-08-06,新制造高速回暖，长期看好机械行业发展逻辑——机械高频数据周报20180805,申万宏源机械
4000,2018-08-06,"机械行业周报:中央定调基建补短板,工程机械、轨交、煤改气等板块有望受益",平安证券
4001,2018-08-05,机械制造：坚定战略推荐油服及半导体设备板块 荐5股,中泰证券
4002,2018-08-03,工程机械转型样本：新旧动能转换 三一“涅槃”重生,中新网
4003,2018-08-03,三一重工再添两大合作伙伴,工程机械商贸
4004,2018-08-02,三一重工：二季度盈利能力环比继续提升,东北证券
4005,2018-08-02,2018“创响中国”三一重工站启动，三一众创在孵企业已达153家,工程机械商贸
4006,2018-08-02,16家券商推送8月份金股134只 6家同时“押宝”三一重工,证券日报
4007,2018-08-01,2018年属于挖掘机行业，三季度排产继续饱和,Wind
4008,2018-08-01,机械行业：聚焦四条投资主线,中证网
4009,2018-08-01,[增持评级]机械设备行业周报：成长与周期子行业并重,中财网
4010,2018-08-01,东吴证券：三一重工增持评级,顶尖财经网
4011,2018-08-01,[优于大市评级]机械工业行业专题报告：政策面改善 工程机械板块估值怎么看,中财网
4012,2018-08-01,[优于大市评级]三一重工(600031)公告点评：中报预增强劲 预计全年业绩高增,中财网
4013,2018-08-01,108股获券商买入评级 苏交科目标涨幅达95.88%,Wind
4014,2018-08-01,三一重工与中建五局签署战略合作协议,工程机械商贸
4015,2018-08-01,【机械-三一重工(600031)】王华君、朱荣华：上半年业绩预增180%-210%，超市场预期；下游基建复苏利好工程机械0731,中泰证券研究所
4016,2018-08-01,【机械丨吕娟】三一重工(600031)：守得云开见月明，中报业绩超预期,方正证券研究
4017,2018-08-01,【机械-王书伟】三一重工：H1业绩增长超预期，龙头盈利能力明显提升,安信证券研究
4018,2018-08-01,"三一重工事件点评:业绩超预期,“积极财政政策”助力估值中枢上移",国海证券
4019,2018-07-31,【三一重工】半年报业绩预增超预期！全年净利润上调至55亿【东吴机械陈显帆】,透视先进制造
4020,2018-07-31,沪港通十大成交活跃股排名（7月31日）,Wind
4021,2018-07-31,[推荐评级]机械行业周报：基金持仓下滑 关注业绩确定性板块,中财网
4022,2018-07-31,[领先大市-A评级]机械行业周报：聚焦业绩超预期 国常会定调积极助于设备需求延续,中财网
4023,2018-07-31,申万宏源：三一重工维持增持评级,顶尖财经网
4024,2018-07-31,[推荐评级]机械设备行业周报：消费夯实中国经济高质量发展根基 看好新消费设备,中财网
4025,2018-07-31,三一重工：半年报业绩预告大超市场预期，优秀的龙头霸气回归！【天风机械】,高端装备新视角
4026,2018-07-31,【太平洋机械】三一重工（600031）公司点评：半年报业绩同比增180%-210%，大幅超市场预期,太平洋机械大讲堂
4027,2018-07-31,[看好评级]机械高频数据周报：国常会强化工程机械景气度延长逻辑 铁路货车招标预期再起,中财网
4028,2018-07-31,三一重工：守得云开见月明 强烈推荐评级,方正证券
4029,2018-07-31,上半年挖掘机销量大增 三一重工预计净利同比增超20亿元,e公司
4030,2018-07-31,[超配评级]机械行业周报：基建产业链或超预期,中财网
4031,2018-07-31,[买入评级]三一重工(600031)点评：中报业绩大幅度预增 盈利能力继续提升,中财网
4032,2018-07-31,机械行业动态：机车货车采购或超预期 工程机械景气延续,中财网
4033,2018-07-31,[推荐评级]三一重工(600031)业绩预览：1H18业绩超预期 工程机械龙头行稳致远,中财网
4034,2018-07-31,三一重工：业绩超预期，政策面边际变化推动估值修复——18年中报预告点评【国君机械黄琨团队】,琨论机械
4035,2018-07-31,7月31日早间行业热点聚焦,中证网
4036,2018-07-31,"机械设备行业:国内晶圆厂建设顺利推进,预计19年迎来国产设备放量高峰",东北证券
4037,2018-07-30,三一重工：预计上半年净利同比增加180%-210%,Wind
4038,2018-07-30,三一重工预计上半年净利润同比增加180%到210%,金融界
4039,2018-07-30,晚间重要公告2018年7月30日星期一,Wind
4040,2018-07-30,三一重工：上半年净利预增180%到210%,e公司
4041,2018-07-30,[增持评级]机械制造业行业周报：政策宽松利好工程机械景气度延续 优选高增长成长股,中财网
4042,2018-07-30,[推荐评级]机械设备行业周报：关注轨交板块预期修复 推荐众合科技、中铁工业,中财网
4043,2018-07-30,[增持评级]机械设备行业周报：稳内需、扩基建持续升温 力推工程机械龙头!战略推荐油服、半导体设备龙头,中财网
4044,2018-07-30,权威解读 | 2018中国工程机械高光发展的背后，别被“骗了”！,慧聪网
4045,2018-07-27,A股共发生57宗大宗交易成交21.67亿元（7月27日）,Wind
4046,2018-07-27,三一重工今日大宗交易成交100万股，成交价7.7元折价14.16%,Wind资讯
4047,2018-07-27,[强于大市评级]机械行业2018年中期投资策略：站在新与旧的交点 结构经济时代的机械设备投资机遇,中财网
4048,2018-07-27,【浙商机械】周期反弹下的工程机械行业点评,浙商证券研究所
4049,2018-07-26,[推荐评级]工程机械行业重大事项点评：存量项目加速推进 农村基建提供增量项目 继续强推工程机械,中财网
4050,2018-07-26,[看好评级]机械行业研究报告：工程机械最新形势专家解读电话会议纪要,中财网
4051,2018-07-25,机械板块全员冲击，山推股份强势涨停,Wind
4052,2018-07-25,机械设备行业日报：关注调整较多的先进和智能制造相关板块,中财网
4053,2018-07-25,机械设备行业点评报告:政策边际改善、工程机械估值将向上修复,东吴证券
4054,2018-07-24,[超配评级]机械行业周报：中报行情展开中报行情展开,中财网
4055,2018-07-24,基金2Q18机械持仓分析：板块持仓回升 关注稳定内需+自主可控,中财网
4056,2018-07-24,机械行业动态：宏观政策边际放松 中报业绩形成催化,中财网
4057,2018-07-24,【新时代机械 郭泰团队】 基金超配机械比例明显提升，业绩超预期个股受青睐,新时代证券研究
4058,2018-07-24,"机械设备行业:SEMI发布全球IC设备供应商排名,国内半导体设备市场喜忧参半",东北证券
4059,2018-07-23,[推荐评级]机械设备行业周报：关注恒立液压布局窗口 持续推荐京山轻机、克来机电,中财网
4060,2018-07-23,[看好评级]机械高频数据周报：工程机械景气度延长 关注半导体等新兴产业链,中财网
4061,2018-07-23,[优于大市评级]机械工业行业周报：进入需求淡季 重视短期业绩超预期和中长期周期成长属性,中财网
4062,2018-07-23,[买入评级]三一重工(600031)点评：上半年挖掘机销量稳居国内第一 政策节奏调整有助于工程机械板块,中财网
4063,2018-07-23,[买入评级]光大行业机械周观点：汽车电子、锂电设备需求空间大 工程机械景气度有望延续,中财网
4064,2018-07-19,申万宏源：四因素共驱本轮工程机械景气周期延长,金融界
4065,2018-07-18,【市场】开拓泰国市场的利器—起重机背后的市场迎合之路,慧聪网
4066,2018-07-18,[推荐评级]机械行业周报：看好先进制造板块 关注业绩超预期个股,中财网
4067,2018-07-18,53股获券商买入评级 保利地产目标涨幅达122.05%,Wind
4068,2018-07-18,工程机械为何淡季热卖？行业背后有两大推手,21世纪经济报道
4069,2018-07-17,[增持评级]机械设备行业周报：继续推荐激光产业链及油服,中财网
4070,2018-07-17,[超配评级]机械行业周报：后工业化时代到来 装备租赁迎来发展良机,中财网
4071,2018-07-17,[推荐评级]机械设备行业周报：半导体设备持续高景气 关注中报业绩确定性,中财网
4072,2018-07-17,[看好评级]机械行业高频数据周报：新制造高速回暖 长期看好机械行业发展,中财网
4073,2018-07-17,[强于大市评级]深度*行业*机械行业周报：半导体设备公司业绩初步兑现 关注中报行情,中财网
4074,2018-07-17,[强烈推荐评级]徐工机械(000425)中报预告点评：起重机供不应求 定增进入倒计时 长期成长空间有望开启,中财网
4075,2018-07-17,【太平洋证券 今日早读】策略：反弹仍在路上，静候财政发令枪|三一重工深度报告|中炬高新、爱尔眼科等公司点评（20180717）,太平洋证券研究
4076,2018-07-17,【机械设备|刘国清团队太平洋证券】三一重工(600031)行稳致远，剑指全球,太平洋证券研究
4077,2018-07-16,三一重工：工程机械崛起的一头雄狮,中国机经网
4078,2018-07-16,[中性评级]机械行业周报：行业盈利良好 关注中报超预期投资机会,中财网
4079,2018-07-16,新制造高速回暖，长期看好机械行业发展——机械高频数据周报20180716,申万宏源机械
4080,2018-07-16,[推荐评级]机械设备行业周报：行业整体持续回暖 细分板块间分化明显-机械行业2018年中报预告总结,中财网
4081,2018-07-16,机械设备行业周报：关注预期中报业务超预期相关标的、周期机械和先进制造,中财网
4082,2018-07-14,《财富》中国500强重磅发布，三一重工排名行业第一,工程机械商贸
4083,2018-07-13,如何正确看待工程机械市场复苏（附图）,中国工业报
4084,2018-07-12,稳！三一重工连续10年蝉联「品牌关注度」榜首,慧聪网
4085,2018-07-11,三一重工入选财富中国500强 排名提高69名,我的钢铁
4086,2018-07-11,[买入评级]广发机械“轻深度”系列之五：借鉴海外经验 探讨企业运营视角下提升价值的路径,中财网
4087,2018-07-11,机械设备行业日报：持续关注油气开采行业投资机会,中财网
4088,2018-07-11,【机械*陈显帆】挖掘机二季度销量创历史新高，全年销量或超30%,东吴研究所
4089,2018-07-11,证监会座谈上市企业：十五家公司首日陈情,21世纪经济报道
4090,2018-07-11,"6月挖机销量点评:挖机销量持续超预期,看长本轮景气周期",申万宏源
4091,2018-07-11,"机械高频数据周报:智能制造看好工业机器人,机械行业进入回暖周期",申万宏源
4092,2018-07-10,[强烈推荐评级]三一重工(600031)调研简报：做时间的朋友 静待业绩持续超预期,中财网
4093,2018-07-10,[增持评级]机械设备行业周报：激光器国产替代迅猛 看好激光产业链,中财网
4094,2018-07-10,[领先大市-A评级]机械行业周报：上半年挖机增长60% 聚焦工程机械及核心设备自主,中财网
4095,2018-07-10,[超配评级]机械行业周报：投资新经济之激光产业,中财网
4096,2018-07-10,机械行业动态：布局中报业绩期 逢低买入白马股,中财网
4097,2018-07-10,最新中国市值500强公司出炉！三一重工行业龙头地位稳固,工程机械商贸
4098,2018-07-10,[推荐评级]机械行业周报：6月挖机销量增长近60% 机器人本体有望放量,中财网
4099,2018-07-09,[增持评级]机械设备行业点评报告：挖掘机：上半年销量同比增长60% 增速继续保持高位;坚定力推三一重工、徐工机械等,中财网
4100,2018-07-09,[增持评级]机械设备行业周报：中报预增季 力推油服龙头、工程机械龙头、半导体设备等,中财网
4101,2018-07-09,选择农村户口不如投资三一小泵车 农村致富新风口！,工程机械商贸
4102,2018-07-09,持续的天量销售与下滑的利用小时数，谁才是挖掘机现状的真相？,格隆汇
4103,2018-07-09,"22018年机械行业周报7月第2期:2028年全球光纤激光器达89亿美元,加强环境治理利好检测行业",证券之星
4104,2018-07-06,三一重工跌2.08%，创近1个月新低，报7.99元,腾讯网
4105,2018-07-06,1H18机械行业业绩预览：子板块业绩分化 重申推荐高景气行业,中财网
4106,2018-07-05,机械设备行业月报：防御为主 配置油气和进口替代逻辑相关板块,中财网
4107,2018-07-04,[超配评级]机械行业周报：中报业绩行情有望展开,中财网
4108,2018-07-04,三一重工大跌6.1%，报8.16元,腾讯网
4109,2018-07-04,三一重工大跌5.29%，报8.23元,腾讯网
4110,2018-07-04,2H18机械行业年中策略：拥抱高景气行业 优选现金流资产,中财网
4111,2018-07-03,[推荐评级]机械设备行业周报：油价再度走强 持续关注高端装备及进口替代,中财网
4112,2018-07-03,[推荐评级]机械行业周报：工程机械淡季不淡 半导体将进入采购大年,中财网
4113,2018-07-03,机械行业动态：铁总首提《货运增量行动方案》 关注中报业绩催化,中财网
4114,2018-07-02,[增持评级]机械行业周报：机械中报行情即将展开 重视油服和核电主题投资机会,中财网
4115,2018-07-02,[买入评级]机械行业2018年3季策略报告：应对不确定性 重视研发技术溢价,中财网
4116,2018-07-02,三一重工大跌5.02%，报8.52元,腾讯网
4117,2018-07-02,[领先大市-A评级]机械行业周报：聚焦中报增长超预期 关注工程机械及高端自主设备,中财网
4118,2018-07-02,[推荐评级]智能制造系列深度报告之六：装备制造业视角的工业互联网发展机会,中财网
4119,2018-07-02,[增持评级]机械设备行业跟踪周报：起重机接力挖机高增长 龙头业绩存在上调空间,中财网
4120,2018-07-02,机械设备行业周报：超跌反弹 适度布局周期机械和先进制造相关超跌板块,中财网
4121,2018-07-02,机械设备行业中期策略报告：周期弹性兑现 进口替代是配置主线 工业互联网是方向,中财网
4122,2018-06-29,[优于大市评级]机械工业行业专题报告：逼近新高之后?借鉴他山之石 挖机销量中枢有望继续上移,中财网
4123,2018-06-28,[同步大市-A评级]机械行业周报：世界首台AP1000实现首次临界 审批窗口开启临近,中财网
4124,2018-06-28,A股MSCI成分股更抗跌，北上资金逆势增持146股,证券时报
4125,2018-06-28,IFR2017工业机器人:全球38.1万同增27%,东北证券
4126,2018-06-27,北京、昆山、长沙！财科院院长刘尚希率调研组再赴三一,工程机械商贸
4127,2018-06-27,[推荐评级]机械行业周报：基建增速回落 战略布局先进制造板块,中财网
4128,2018-06-27,"2018年中期机械行业投资策略:聚焦周期反转,优选成长龙头",信达证券
4129,2018-06-26,机械行业动态：流动性偏紧背景下 优选现金流资产,中财网
4130,2018-06-26,[增持评级]机械设备行业周报：OPEC协议好于预期 油价大涨;持续战略看好油服!力推工程机械龙头、优质成长股,中财网
4131,2018-06-26,机械行业周报:关注油服和工程机械;布局价值成长股,国信证券
4132,2018-06-25,选择农村户口不如投资三一小泵车 农村致富新风口,慧聪网
4133,2018-06-22,【工程机械】5月起重机接力挖掘机高增长，装载机销量高基数下稳步提升【东吴机械陈显帆】,微信
4134,2018-06-22,沪港通十大成交活跃股排名（6月22日）,Wind
4135,2018-06-22,牢记总理嘱托丨打造三一“双创”升级版(深度报道一),慧聪网
4136,2018-06-22,[同步大市-A评级]机械行业周报：基建增速回落 但主流工业品彰显需求向好,中财网
4137,2018-06-22,机械行业周报:布局优质成长股,国信证券
4138,2018-06-21,巨丰资金流向：市场阴跌不止 资金做多情绪低迷,巨丰财经
4139,2018-06-21,"机械设备行业高频数据周报:挖机销量持续超预期,智能制造迎进口替代高峰",申万宏源
4140,2018-06-20,三一重工：6月19日融资余额为12.35亿元，较前一日骤降6.58%,Wind资讯
4141,2018-06-20,机械行业数据周报:关注具有持续盈利能力的优质公司,山西证券
4142,2018-06-19,央视《经济半小时》解读三一海外并购经典案例,慧聪网
4143,2018-06-19,工程机械内外销量“大丰收” 3只龙头股吸金近5亿,证券日报
4144,2018-06-19,"2018年机械行业周报6月第3期,大族激光携华昌达发展激光加工,中芯国际14nm制程良率达95%",证券之星
4145,2018-06-15,下周816亿市值限售股解禁，环比减少一成,Wind
4146,2018-06-14,6月14日有78家公司获重要股东增减持 通威股份已被连续增持142次,Wind
4147,2018-06-14,[强烈推荐评级]三一重工(600031)事件点评：经营杠杆大幅下降 盈利持续性大幅提升,中财网
4148,2018-06-14,【机械-三一重工(600031)】王华君、朱荣华（联系人）：上调盈利预测：2020年业绩有望创新高！20180613,中泰证券研究所
4149,2018-06-14,《项目名单》支持工业互联网发展 6股月内吸金近16亿,证券日报
4150,2018-06-13,[同步大市-A评级]机械行业周报：工程机械行业景气预期持续强化,中财网
4151,2018-06-13,"专用设备行业:5月挖机销量同比+71.3%再超预期,继续看好零部件企业业绩爆发与主机厂利润超额释放",申万宏源
4152,2018-06-12,[推荐评级]机械设备行业周报：工业互联网发展计划发布 工程机械持续高增长(第23周观点),中财网
4153,2018-06-12,工程机械板块爆发 三一重工大涨超7%,e公司
4154,2018-06-12,[推荐评级]机械行业简评报告：5月挖机销量继续高增长 利润弹性向上,中财网
4155,2018-06-12,"机械设备行业高频数据周报:5月挖机销量再超预期,长期看好智能制造",申万宏源
4156,2018-06-12,机械设备行业周报:持续关注核心零部件国产化投资机会,国海证券
4157,2018-06-11,【工程机械】挖掘机5月销量超预期，东中部地区发力【东吴机械陈显帆】,微信
4158,2018-06-11,[增持评级]机械设备行业周报：5月挖掘机销量增71% 坚定推荐工程机械龙头战略看好油服、半导体设备、机器人、军民融合,中财网
4159,2018-06-11,6月11日午间行业热点聚焦,中证网
4160,2018-06-11,[优大于势评级]机械设备行业周报：大基金21亿持续投资 关注半导体、机器人等战略新兴产业,中财网
4161,2018-06-11,"2018年机械行业周报6月第2期:激光设备产业或迎来加速发展,新补贴目录保障新能源汽车销量",证券之星
4162,2018-06-11,"机械设备行业点评报告:挖掘机5月销量超预期,东中部地区发力",东吴证券
4163,2018-06-08,[领先大市-A评级]工程机械行业快报：行业景气持续性强化 未来有望继续高歌猛进,中财网
4164,2018-06-08,继续看好零部件企业业绩爆发与主机厂利润超额释放,申万宏源
4165,2018-06-08,[增持评级]机械工业行业信息点评：5月挖机销量高增 持续性或好于11年,中财网
4166,2018-06-08,银河证券晨会纪要-180608,银河证券
4167,2018-06-08,机械设备行业月报：流动性压力有所缓解 继续关注先进制造板块,中财网
4168,2018-06-08,5月挖掘机销量点评：销量高增长延续 奠定全年增长基础,中财网
4169,2018-06-07,5月重卡销量再创纪录 上市公司担忧成本上升降低盈利,e公司
4170,2018-06-07,东吴机械行业中期投资策略：先进制造引领中国经济转型,中财网
4171,2018-06-07,徐工VS三一 : 工程机械格局初变，各家企业当如何表现？,慧聪网
4172,2018-06-06,工业互联网：富士康6月8日上市将对板块形成刺激,巨丰财经
4173,2018-06-06,[增持评级]机械设备行业周报：油服行业高景气 坚定推荐,中财网
4174,2018-06-06,[买入评级]三一重工(600031)公司跟踪报告：产品结构不断优化 挖机销量或高增长,中财网
4175,2018-06-06,三一入选中宣部“改革开放40年”调研点，财科院院长率队考察,工程机械商贸
4176,2018-06-06,42股获券商买入评级 万科A目标涨幅达104.07%,Wind
4177,2018-06-06,"机械行业:预计挖机再超预期,低风险偏好聚焦业绩增长确定性",安信证券
4178,2018-06-04,[优于大势评级]机械设备行业周报：科沃斯上市服务机器人引关注 继续推荐工程机械和油服行业,中财网
4179,2018-06-04,[推荐评级]机械设备行业周报：木工机械、挖机高增长持续 新增推荐众合科技,中财网
4180,2018-06-04,5日机构强推买入 六股成摇钱树,证券之星
4181,2018-06-04,[增持评级]机械工业行业周报：工程机械旺季和拉长的国产化窗口,中财网
4182,2018-06-04,[买入评级]机械设备行业周报：服务机器人进入场景时代的产业化应用,中财网
4183,2018-06-04,机械设备行业周报：防御为主 油气开采、先进和智能制造仍是主线,中财网
4184,2018-06-04,[买入评级]光大行业机械周观点：汽车电子市场空间广阔 煤化工设备春天将至,中财网
4185,2018-06-04,[强于大市评级]机械设备行业研究周报：六月继续重视成长 工业机器人与锂电设备的盛夏将至,中财网
4186,2018-06-04,"机械设备行业周报:自主可控进程加速,关注机器人板块投资机会",国海证券
4187,2018-06-01,[强于大市评级]工业互联网专题报告：工业互联网：智能制造时代的关键基础设施,中财网
4188,2018-05-31,机械设备行业深度报告：全球电池龙头供需缺口巨大 设备进入超级成长周期,中财网
4189,2018-05-31,[买入评级]工程机械行业专题报告：企业未雨绸缪 低预期蕴育潜力,中财网
4190,2018-05-31,[增持评级]机械设备行业点评报告：起重机、推土机、装载机、压路机销量持续增长 出口增速放缓,中财网
4191,2018-05-31,"机械行业周报:油服行业不改复苏趋势,继续看好半导体制程设备国产化、工业基础件国产化",证券之星
4192,2018-05-28,[买入评级]机械设备行业专题：国际油价高位震荡 而基本面持续向好,中财网
4193,2018-05-28,[领先大市-A评级]机械行业周报：制造业景气 聚焦业绩增长确定及新兴产业装备,中财网
4194,2018-05-28,[看好评级]机械行业周报：科沃斯上市有望带动服务机器人板块关注度提升,中财网
4195,2018-05-28,[看好评级]机械高频数据周报：机器换人大势所趋 重点推荐各细分领域龙头,中财网
4196,2018-05-28,三一挖机4月销量再翻番！25家券商扎堆“看涨”三一,慧聪网
4197,2018-05-28,[增持评级]机械设备行业周报：油价短期波动不改中长期趋势 持续战略看好油服!力推半导体设备、机器人、军民融合!,中财网
4198,2018-05-28,[优于大势评级]机械设备行业周报：对美油气进口增加 利好国内页岩气以及天然气产业链发展,中财网
4199,2018-05-28,[推荐评级]通用机械行业周报：工程机械和油气产业链仍处于偏底部位置,中财网
4200,2018-05-28,"机械行业周报2018年5月第4期:宁德时代IPO获批助力锂电板块,半导体持续高景气有利设备企业",证券之星
4201,2018-05-26,融资客斥资近300亿元买入448只标的股,证券日报
4202,2018-05-24,四维图新助力三一重工 打响互联网卡车“革命”,飞象网
4203,2018-05-24,[看好评级]机械行业点评报告：压裂服务及设备专家交流电话会议纪要,中财网
4204,2018-05-23,三一重工 | 每小时卖出5台，120台三一微挖仅1天售罄！,慧聪网
4205,2018-05-22,[领先大市-A评级]机械行业周报：制造业投资加速 推荐工业自动化及锂电设备,中财网
4206,2018-05-22,三一荣登两大核心榜单，品牌价值获双重肯定！,慧聪网
4207,2018-05-22,机械行业动态：油价上行利好油气装备 半导体设备景气持续,中财网
4208,2018-05-22,"机械设备行业:聚焦周期行业业绩的拐点和持续性,优选成长型细分子行业",东北证券
4209,2018-05-21,机械制造：布油一度破80美元 荐3股,中泰证券
4210,2018-05-21,"机械行业周报5月第2期:机器人峰会助推智能制造板块,建议聚焦大先进制造领域",正点财经
4211,2018-05-21,[看好评级]机械高频数据周报：1-4月挖机销量创历史同期第二 龙头地位凸显行业集中度进一步提升,中财网
4212,2018-05-21,"机械行业周报2018年5月第3期:油价上涨助推油服产业链,特斯拉落户引领电动化浪潮",证券之星
4213,2018-05-19,215只个股被10家以上机构看好，四逻辑筛出6只绩优股,Wind
4214,2018-05-18,2018三一重机服务万里行活动隆重起航,慧聪网
4215,2018-05-17,[推荐评级]机械行业周报：6家A股机械设备公司纳入MSCI指数 相关板块及公司有望受益,中财网
4216,2018-05-16,三一重工：融入当地 让“走出去”更加绚烂,慧聪网
4217,2018-05-16,三一重工A股首批“入摩”！一季度获“国家队”增持,慧聪工程机械
4218,2018-05-16,三一重工：5月15日融资余额为14.03亿元，较前一日骤增7.13%,Wind资讯
4219,2018-05-16,A股最新入围MSCI名单出炉 6股绝佳布局良机,证券日报
4220,2018-05-16,A股最新入围MSCI名单出炉 37只潜力股获机构力荐,证券日报
4221,2018-05-16,"机械高频数据周报:4月挖机销量同比增速超预期,5月CMI指数稳步扩张",申万宏源
4222,2018-05-15,[增持评级]机械设备行业周报：经济将前低后高 看好工程机械板块,中财网
4223,2018-05-15,[超配评级]机械行业周报：投资机械新经济 关注核电、工业自动化和半导体,中财网
4224,2018-05-15,工程机械板块集体拉涨,Wind
4225,2018-05-15,机械行业动态：智能物流系统迎发展良机,中财网
4226,2018-05-14,机械制造：投资机械新经济 荐10股,国信证券
4227,2018-05-14,[推荐评级]机械设备行业周报：可折叠OLED设备或将冲击平板电脑市场 上海新昇300MM大硅片正片实现销售,中财网
4228,2018-05-14,[推荐评级]机械设备行业周报：锂电中游资金紧张缓解 工程机械需求强度持续,中财网
4229,2018-05-14,[增持评级]机械制造行业周报：国产工业机器人厂商加速追赶 三代核电招标有望提速,中财网
4230,2018-05-14,挖掘机概念股三一重工：业绩高增长持续,南方财富网
4231,2018-05-14,[买入评级]光大行业机械周观点：4月挖机、新能源汽车旺销 工程机械、锂电设备向好,中财网
4232,2018-05-14,[推荐评级]机械行业周报：4月挖机增速85% 预计全年旺销延续,中财网
4233,2018-05-14,[增持评级]机械设备行业周报：战略看好油服!持续看好半导体设备、机器人、军民融合,中财网
4234,2018-05-14,[看好评级]机械行业周报：市场关注从工业机器人向整个智能制造板块蔓延,中财网
4235,2018-05-14,[优于大势评级]机械设备行业周报：4月挖机同比大增85% 继续看多工程机械板块,中财网
4236,2018-05-14,[增持评级]机械设备行业周报：全球电动化加速 锂电设备进入新成长周期,中财网
4237,2018-05-14,[强于大市评级]机械设备行业研究周报：季报成长性分析 机构低配与持续成长值得关注,中财网
4238,2018-05-14,机械设备行业周报：板块次新和超跌个股表现较好 继续关注进口替代和油气,中财网
4239,2018-05-11,品牌日丨2018中国品牌价值榜发布，三一重工领军工程机械品牌,慧聪网
4240,2018-05-10,千年大计 携手共赢 | 河北保定高端客户考察团抵湘访问三一重工,慧聪网
4241,2018-05-10,今日资金抢入六只强势股一览（2018年5月10日）,中财网
4242,2018-05-10,[增持评级]机械设备行业动态：4月挖掘机销量强于市场预期 预计全年销量创历史新高,中财网
4243,2018-05-10,[推荐评级]机械行业周报：1-4月挖掘机销量仍保持快速增长 继续看好油气行业复苏,中财网
4244,2018-05-10,[增持评级]机械工业行业信息点评：4月挖机继续旺销 调高全年挖机销量预测,中财网
4245,2018-05-10,4月挖掘机2.7万台同比+84%高增长延续（附股）,顶尖财经网
4246,2018-05-10,[推荐评级]机械设备行业周报：机械板块盈利能力向上 国产半导体设备迎拐点,中财网
4247,2018-05-09,研报精选：这家港口净利翻倍+底背离+成交量放大！,中金网
4248,2018-05-09,"三一重工:盈利能力大幅提升,业绩弹性显著释放",正点财经
4249,2018-05-09,[增持评级]机械设备行业周报：静待需求释放 看好工程机械板块,中财网
4250,2018-05-09,挖机行业月度数据点评：4月销量符合预期 5月或超预期,中财网
4251,2018-05-09,"三一重工:一季报业绩大幅超预期,未来利润向上空间巨大",中证网
4252,2018-05-09,[增持评级]机械设备行业周报：工程机械4月保持高增长 持续看好核心技术设备龙头,中财网
4253,2018-05-09,[增持评级]机械设备行业周报：美油逼近70美元大关 关注中东局势 战略看好油服!持续看好半导体设备、机器人、军民融合,中财网
4254,2018-05-09,三一重工：Q1净利润翻番，资产负债表全面修复，轻装上阵业绩可期,高端装备新视角
4255,2018-05-09,[看好评级]机械设备行业动态跟踪：4月挖机数据再超预期 工程机械行业再度自证,中财网
4256,2018-05-09,[优于大势评级]机械设备行业周报：中芯国际与大基金等投资成立半导体产业基金 各方持续发力促发展,中财网
4257,2018-05-08,[强于大市评级]深度*行业*机械行业2017年报与2018一季报总结：周期与成长共舞,中财网
