,2021-12-29,晚间重要公告2021年12月29日星期三,Wind
922,2018-10-14,华能水电：拟逾48.9亿元挂牌转让金中公司23%股权,Wind
923,2018-10-14,华能水电：拟逾48.9亿元挂牌转让金中公司23%股权,e公司
924,2018-10-12,华能水电：前三季度发电量同比增长12%,e公司
925,2018-10-09,[互动]华能水电：上半年发电量同比减少,全景网
926,2018-09-07,沪市上市公司助力脱贫攻坚 谱写资本市场扶贫新篇章,上交所
927,2018-09-07,第一百四十期新闻发布会,上交所
928,2018-09-02,电力：防御属性突出 超额收益显著,广发证券
929,2018-08-29,华能水电：上半年净利润同比减42.89% 盈利能力下降,Wind
930,2018-08-28,华能水电所属糯扎渡水电站被索赔诉讼有最新进展 原告索赔6.23亿元被驳回 诉讼纠纷,证券日报
931,2018-08-03,包销731只打新弃购股 券商捡漏净赚超24亿,证券时报
932,2018-07-27,发改委提进一步加快电力体制改革 四股可以关注,证券之星
933,2018-07-19,巨丰早评：短线仍是超跌反弹为主,巨丰财经
934,2018-07-18,巨丰收评：短线思维占上风 超跌小票讲故事,巨丰财经
935,2018-07-16,"电力行业2018年中报前瞻:过半公司业绩预喜,行业趋势向好",平安证券
936,2018-07-06,华能水电：黄登水电站首台机组投产,e公司
937,2018-07-06,电力环保行业月报：用电量增速超预期 关注火电业绩改善,中财网
938,2018-07-05,华能水电：债券简称由“澜沧江“变更为“华能水电”,Wind
939,2018-06-23,重点关注：福建省发布《关于降低一般工商业电价有关事项的通知》，拟进一步降低一般工商业电价每千瓦时0.0183元,长江电力及公用事业
940,2018-06-18,华能水电大华桥水电站1号机组投产,Ofweek
941,2018-06-16,华能水电：在建五座电站总装机容量563万千瓦,中证网
942,2018-06-15,[互动]华能水电：云南电力供大于求 影响公司售电价格,全景网
943,2018-06-11,多公司发布晚间重要公告 12日走势或将反转,新浪
944,2018-06-11,华能水电：大华桥水电站首台1号机组开始商业运营,e公司
945,2018-06-03,华能水电：苗尾水电站4台机组全部投产发电,e公司
946,2018-05-25,"电力行业周报:4月发用电量重回高增长,发改委要求煤价回归合理区间",平安证券
947,2018-05-24,工业富联中签率最新出炉！不要让肥肉飞了！,中财网
948,2018-05-23,"错过1次""悔半年"" 今年第一只100%中签新股来了",中国基金报
949,2018-05-22,[增持评级]公用事业行业周报：发改委九措施促煤价下降 四月用电量同比增长7.8%,中财网
950,2018-05-15,十大异动股点评：特斯获得上海浦东新区营业执照 天汽模涨停,巨丰财经
951,2018-05-15,巨丰资金流向：创业板强势反弹带动市场攀升 食品饮料板块获资金青睐,巨丰财经
952,2018-05-15,电力股午后发力 华能水电涨停,e公司
953,2018-04-25,华能水电2017年净利同比增长330.75%,中证网
954,2018-04-25,华能水电：年报净利接近22亿 同比增超3倍,e公司
955,2018-04-25,华能水电：一季度净利润同比减57.69%,Wind
956,2018-04-25,华能水电：2017年净利润同比增330.75%,Wind
957,2018-04-18,电力环保行业日报：18年国网市场化电量将达1.4万亿千瓦时,中财网
958,2018-04-10,次新股探底回升，泰永长征、新疆火炬先后涨停,Wind
959,2018-03-27,水电行业整体业绩稳中有升,Ofweek
960,2018-03-19,[推荐评级]公用事业行业周报：环保督察“回头看” 即将进行 蓝天保卫战继续加码,中财网
961,2018-03-11,春节后首波打新来了！湖南盐业是亮点，这类低价股平均涨停多达16个,和讯
962,2018-03-07,【申万公用环保】桂冠电力（600236）深度报告：来水改善业绩弹性显著 低估值高分红配置价值突出,申万环保公用
963,2018-02-26,早安！方正最新观点20180226,方正证券研究
964,2018-02-25,电力：全球水电核心资产价值有望重估 荐3股,方正证券
965,2018-02-23,电力行业周报：电煤价格港口受限 预计短期见顶,中财网
966,2018-02-12,[推荐评级]公用事业行业周报：西南地区弃水有望持续改善 2018年PPP发展应谨慎乐观,中财网
967,2018-02-12,[强于大市评级]电力行业周报：发改委回应电煤供应 核电巨头推进低温供热堆应用,中财网
968,2018-02-12,方正证券丨一周聚焦0212-0216,方正证券研究
969,2018-02-08,大爱无言民心知 华能澜沧江获2017年“扶贫贡献奖”,中国经济网
970,2018-02-08,[看好评级]环保行业深度报告：水电业绩稳健分红高 买入行业龙头现金牛,中财网
971,2018-02-08,[增持评级]公用事业行业简报：天气严寒与经济回暖致1月电量大幅提升,中财网
972,2018-02-07,2017年以来新股“弃购”近4千万股 券商捡漏或多赚10亿,21世纪经济报道
973,2018-02-06,电力行业周报：2018年多个省份电力市场化交易活跃,中财网
974,2018-02-06,电力行业月报：用电需求有望继续上升 利好电力行业,中财网
975,2018-02-04,中签概率高至40%！本周新股拼运气也拼实力，重点是影子股真不少，含金量十足,证券时报网
976,2018-02-01,华能系资产整合加速 煤电央企重组预期强烈,证券日报
977,2018-01-30,华能水电年报预增逾3倍 预计增加159183万元到169283万元,财富动力网
978,2018-01-29,晚间重要公告2018年1月29日星期一,--
979,2018-01-23,机构五日抢筹6股 主力资金大量流入,证券时报
980,2018-01-20,机构大举出逃杭萧钢构 游资接力炒作张家港行,财富动力网
981,2018-01-19,高送转向“厚赚”！嫌胖爱瘦，青睐白富美，重点看这里,--
982,2018-01-18,次新股普遍回调，多股跌逾5%,Wind
983,2018-01-16,【解盘论市】小心！预计区块链概念周三又要“扑街”了……,--
984,2018-01-16,知名游资集体“拥抱”华能水电,每日经济新闻
985,2018-01-16,华能水电龙虎榜数据（1月16日）,Wind资讯
986,2018-01-16,次新涨停潮宣告反击开始 7亿资金拥抱华能水电等6股,和讯
987,2018-01-16,涨停板解密：两板块再度火爆上攻！（1月16日）,Wind
988,2018-01-16,巨丰资金流向：房地产拉升带动市场反弹,巨丰财经
989,2018-01-16,涨停揭秘：地产拉升市场反弹 次新股再迎涨停潮,巨丰财经
990,2018-01-16,2017年报业绩轮廓显露，27家增长超100%可提前确定,--
991,2018-01-16,1月16日：早盘主力巨资围剿四大板块(11:30),金融界
992,2018-01-16,次新股势头不减，贵州燃气强势涨停,Wind
993,2018-01-15,公用事业行业周报：电煤价格下调利好火电企业,中财网
994,2018-01-10,电力行业周报：发改委鼓励煤电联营并公布光伏扶贫项目,中财网
995,2018-01-10,今日早盘主力资金净流出最多的50只个股（1月10日）,金投网
996,2018-01-10,1月10日：早盘主力巨资出逃四大板块(11:30),金融界
997,2018-01-04,曹中铭：新股平均收益减少乃市场的必然选择,中财网
998,2018-01-04,华能系资产整合加速煤电央企重组预期强烈,证券日报
999,2018-01-03,公用事业行业月报：继续关注煤电联动,中财网
1000,2018-01-02,2017全年企业上市总费用195亿募集资金总额为2105亿,金融界
1001,2018-01-02,公用事业：利好优质火电机组 荐3股,川财证券
1002,2018-01-02,电力行业2018年投资策略报告:关注煤电联动和配售电融合,中国网
1003,2018-01-02,巨丰早评：2018年有望开门红,巨丰财经
1004,2018-01-02,华能水电:挂牌售房产利于盘活存量资产提高资产效率,新浪
1005,2018-01-01,股市早知道：影响股票市场的重磅新闻汇总(1.2),网易
1006,2018-01-01,周一上市公司晚间重要公告,顶尖财经网
1007,2018-01-01,华能水电：1.9亿元挂牌出售北京多处房产,Wind
1008,2018-01-01,华能水电：1.9亿元挂牌出售北京多处房产,e公司
